region,all,including children
Дагестан,188,
Самарская область,118,
Московская область,88,
Ленинградская область,75,55
Татарстан,45,
Кемеровская область,35,
Санкт-Петербург,31,13
Алтайский край,33,
Краснодарский край,31,
Башкортостан,24,
Ульяновскя область,2,
Курскаяобласть,2,
Смоленская область,2,
ХМАО,2,
ЯНАО,2,
Адыгея,2,
Кабардино-Балкарская республика,2,
Якутия,2,
Карелия,2,
Воронежская область,7,
Иркутская область,8,
Астраханская область,7,
Оренбургская область,8,
Омская область,7,
Пензенская область,8,
Чеченская республика,7,
Бурятия,8,
Красноярский край,7,
Ставропольский край,8,
Республика Алтай,11,0
Челябинская область,12,6
